Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,Home Team Initials,Away Team Initials,Home Coach Name,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Coach Name,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11,Home Player 1 Stats,Home Player 2 Stats,Home Player 3 Stats,Home Player 4 Stats,Home Player 5 Stats,Home Player 6 Stats,Home Player 7 Stats,Home Player 8 Stats,Home Player 9 Stats,Home Player 10 Stats,Home Player 11 Stats,Away Player 1 Stats,Away Player 2 Stats,Away Player 3 Stats,Away Player 4 Stats,Away Player 5 Stats,Away Player 6 Stats,Away Player 7 Stats,Away Player 8 Stats,Away Player 9 Stats,Away Player 10 Stats,Away Player 11 Stats
2010.0,21 Jun 2010 - 13:30 ,Group G,Portugal,7.0,0.0,Korea DPR,63644.0,1.0,0.0,POZO Pablo (CHI),BASUALTO Patricio (CHI),MONDRIA Francisco (CHI),POR,PRK,PAULO BENTO (POR),MARIO COLUNA,GOMES,FIGO,RICARDO,PAULETA,RONALDO,BETO,EDUARDO,PAULO BENTO (POR),RICARDO,RICARDO,KIM Jong Hun (PRK),PAK Seung Zin,H. YONG JO,H. YONG JO,PAK Seung Zin,H. YONG JO,PAK Seung Zin,H. YONG JO,H. YONG JO,KIM Jong Hun (PRK),H. YONG JO,H. YONG JO,81,82,67,80,65,94,76,76,78,80,80,81,88,88,81,88,81,88,88,81,88,88
2010.0,21 Jun 2010 - 16:00 ,Group H,Chile,1.0,0.0,Switzerland,34872.0,0.0,0.0,AL GHAMDI Khalil (KSA),KAMRANIFAR Hassan (IRN),AL MARZOUQI Saleh (UAE),CHI,SUI,ACOSTA Nelson (URU),Guillermo SUBIABRE,Jorge TORO,Francisco VALDES,Ivan ZAMORANO,Nelson TAPIA,Jorge TORO,Ivan ZAMORANO,Jorge TORO,Jorge TORO,Francisco VALDES,Francisco VALDES,HITZFELD Ottmar (GER),Marco PASCOLO,VOGEL,BENAGLIO,FREI,VOGEL,FREI,VOGEL,HITZFELD Ottmar (GER),FREI,FREI,HITZFELD Ottmar (GER),70,78,75,82,72,78,82,78,78,75,75,84,65,77,76,65,76,65,65,76,76,65
2010.0,21 Jun 2010 - 20:30 ,Group H,Spain,2.0,0.0,Honduras,54386.0,1.0,0.0,NISHIMURA Yuichi (JPN),SAGARA Toru (JPN),JEONG Hae Sang (KOR),ESP,HON,DEL BOSQUE Vicente (ESP),ZARRA,Juan Manuel ASENSI,Jose Antonio CAMACHO,Emilio BUTRAGUENO,NADAL,ZUBIZARRETA,HIERRO,RAUL,I. CASILLAS,RAMOS,Jose Antonio CAMACHO,SUAREZ Luis (COL),Ramon MARADIAGA,GUEVARRA,VALLADARES,GUEVARRA,Ramon MARADIAGA,GUEVARRA,GUEVARRA,GUEVARRA,VALLADARES,VALLADARES,GUEVARRA,65,84,81,74,64,65,65,74,87,90,81,71,65,65,65,71,65,65,65,65,65,65
2010.0,22 Jun 2010 - 16:00 ,Group A,Mexico,0.0,1.0,Uruguay,33425.0,0.0,1.0,KASSAI Viktor (HUN),EROS Gabor (HUN),VAMOS Tibor (HUN),MEX,URU,Javier AGUIRRE (MEX),Horacio CASARIN,Gustavo PENA,Arturo VAZQUEZ,Jose REYES,Pedro SOTO,CAMPOS,Alberto GARCIA ASPE,O. PEREZ,R. MARQUEZ,G TORRADO,R MARQUEZ,TABAREZ Oscar (URU),Obdulio VARELA,Pedro ROCHA,Luis UBINA,Jorge BARRIOS,Fernando ALVEZ,Enzo FRANCESCOLI,F.CARINI,P.MONTERO,FORLAN,D. LUGANO,F. MUSLERA,67,80,63,77,84,76,81,83,91,90,94,77,84,79,78,81,71,65,65,65,88,86
2010.0,22 Jun 2010 - 16:00 ,Group A,France,1.0,2.0,South Africa,39415.0,0.0,2.0,RUIZ Oscar (COL),GONZALEZ Abraham (COL),CLAVIJO Humberto (COL),FRA,RSA,DOMENECH Raymond (FRA),Jean Paul BERTRAND DEMANES,Michel PLATINI,Didier DESCHAMPS,ZIDANE,VIEIRA,EVRA,A. DIARRA,Michel PLATINI,DOMENECH Raymond (FRA),DOMENECH Raymond (FRA),Didier DESCHAMPS,PARREIRA Carlos Alberto (BRA),Lucas RADEBE,RADEBE,KHUNE,JOSEPHS,Lucas RADEBE,JOSEPHS,Lucas RADEBE,KHUNE,PARREIRA Carlos Alberto (BRA),KHUNE,Lucas RADEBE,81,76,65,64,71,80,89,76,65,65,65,82,65,77,65,82,65,82,77,77,77,82
2010.0,22 Jun 2010 - 20:30 ,Group B,Nigeria,2.0,2.0,Korea Republic,61874.0,1.0,1.0,Oleg�rio BENQUEREN�A (POR),CARDINAL Jose (POR),MIRANDA Bertino (POR),NGA,KOR,KESHI Stephen (NGA),Stephen KESHI,UCHE,ENYEAMA,KANU,YOBO,ENYEAMA,ENYEAMA,KANU,ENYEAMA,KANU,KANU,HONG Myungbo (KOR),PARK Chang Sun,CHOI In Young,LEE Woonjae,KIM B. J.,YOO S. C.,M B HONG,JISUNG,J C KOO,KIM B. J.,M B HONG,LEE Woonjae,74,76,80,74,65,80,80,74,80,74,74,78,89,77,88,89,93,65,94,88,93,77
2010.0,22 Jun 2010 - 20:30 ,Group B,Greece,0.0,2.0,Argentina,38891.0,0.0,0.0,Ravshan IRMATOV (UZB),ILYASOV Rafael (UZB),KOCHKAROV Bakhadyr (KGZ),GRE,ARG,SANTOS Fernando (POR),Tassos MITROPOULOS,KARAGOUNIS,KATSOURANIS,KARNEZIS,GLYKOS,KATSOURANIS,Tassos MITROPOULOS,Tassos MITROPOULOS,KATSOURANIS,KATSOURANIS,KATSOURANIS,SABELLA Alejandro (ARG),Ruben NAVARRO,Antonio RATTIN,Roberto PERFUMO,Miguel BRINDISI,Daniel PASSARELLA,Diego MARADONA,Nery PUMPIDO,Sergio GOYCOCHEA,VERON,BATISTUTA,MASCHERANO,65,63,65,82,71,65,65,65,65,65,65,78,80,83,78,80,86,65,90,67,65,83
2010.0,23 Jun 2010 - 16:00 ,Group C,Slovenia,0.0,1.0,England,36893.0,0.0,1.0,Wolfgang STARK (GER),SALVER Jan-Hendrik (GER),PICKEL Mike (GER),SVN,ENG,KEK Matjaz (SVN),CEH A.,KOREN,KOREN,KEK Matjaz (SVN),KOREN,KOREN,KOREN,KOREN,KOREN,KOREN,KOREN,CAPELLO Fabio (ITA),Bryan ROBSON,Terry BUTCHER,Alan SHEARER,David SEAMAN,BECKHAM,ROBINSON,GERRARD,Terry BUTCHER,David SEAMAN,Alan SHEARER,Alan SHEARER,89,65,65,79,65,65,65,65,65,65,65,73,78,78,87,65,69,65,78,87,78,78
2010.0,23 Jun 2010 - 16:00 ,Group C,USA,1.0,0.0,Algeria,35827.0,0.0,0.0,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),USA,ALG,KLINSMANN Juergen (GER),Tom FLORIE,Tony MEOLA,Michael WINDISCHMANN,Thomas DOOLEY,STEWART,FRIEDEL,REYNA,BOCANEGRA,DEMPSEY,Tony MEOLA,BOCANEGRA,HALILHODZIC Vahid (BIH),Nasser DRID,YAHIA,BOUGUERRA,HALLICHE,Nasser DRID,Nasser DRID,Nasser DRID,YAHIA,Nasser DRID,BOUGUERRA,BOUGUERRA,76,71,65,80,72,65,70,74,78,71,74,72,72,65,71,72,72,72,72,72,65,65
2010.0,23 Jun 2010 - 20:30 ,Group D,Ghana,0.0,1.0,Germany,83391.0,0.0,0.0,SIMON Carlos (BRA),HAUSMANN Altemir (BRA),BRAATZ Roberto (BRA),GHA,GER,APPIAH James (GHA),S. APPIAH,MENSAH,A. GYAN,MENSAH,A. GYAN,A. GYAN,S. APPIAH,APPIAH James (GHA),A. GYAN,A. GYAN,A. GYAN,LOEW Joachim (GER),MATTH�US,Juergen KLINSMANN,KAHN,SCHNEIDER,BALLACK,LAHM,Juergen KLINSMANN,BALLACK,LOEW Joachim (GER),BALLACK,Juergen KLINSMANN,89,76,89,76,89,89,89,73,89,89,89,65,61,65,83,65,65,61,65,65,65,61
