Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,Home Team Initials,Away Team Initials,Home Coach Name,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Coach Name,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11,Home Player 1 Stats,Home Player 2 Stats,Home Player 3 Stats,Home Player 4 Stats,Home Player 5 Stats,Home Player 6 Stats,Home Player 7 Stats,Home Player 8 Stats,Home Player 9 Stats,Home Player 10 Stats,Home Player 11 Stats,Away Player 1 Stats,Away Player 2 Stats,Away Player 3 Stats,Away Player 4 Stats,Away Player 5 Stats,Away Player 6 Stats,Away Player 7 Stats,Away Player 8 Stats,Away Player 9 Stats,Away Player 10 Stats,Away Player 11 Stats
2010.0,26 Jun 2010 - 20:30 ,Round of 16,USA,1.0,2.0,Ghana,34976.0,0.0,0.0,KASSAI Viktor (HUN),EROS Gabor (HUN),VAMOS Tibor (HUN),USA,GHA,KLINSMANN Juergen (GER),Tom FLORIE,Tony MEOLA,Michael WINDISCHMANN,Thomas DOOLEY,STEWART,FRIEDEL,REYNA,BOCANEGRA,DEMPSEY,Tom FLORIE,REYNA,APPIAH James (GHA),S. APPIAH,MENSAH,A. GYAN,APPIAH James (GHA),A. GYAN,S. APPIAH,MENSAH,A. GYAN,APPIAH James (GHA),A. GYAN,APPIAH James (GHA),76,71,65,80,72,65,70,74,78,76,70,89,76,89,73,89,89,76,89,73,89,73
2010.0,27 Jun 2010 - 16:00 ,Round of 16,Germany,4.0,1.0,England,40510.0,2.0,1.0,LARRIONDA Jorge (URU),FANDINO Pablo (URU),ESPINOSA Mauricio (URU),GER,ENG,LOEW Joachim (GER),MATTH�US,Juergen KLINSMANN,KAHN,SCHNEIDER,BALLACK,LAHM,SCHNEIDER,LAHM,Juergen KLINSMANN,Juergen KLINSMANN,SCHNEIDER,CAPELLO Fabio (ITA),Bryan ROBSON,Terry BUTCHER,Alan SHEARER,David SEAMAN,BECKHAM,ROBINSON,GERRARD,Alan SHEARER,ROBINSON,GERRARD,GERRARD,65,61,65,83,65,65,83,65,61,61,83,73,78,78,87,65,69,65,78,69,65,65
2010.0,27 Jun 2010 - 20:30 ,Round of 16,Argentina,3.0,1.0,Mexico,84377.0,2.0,0.0,ROSETTI Roberto (ITA),CALCAGNO Paolo (ITA),AYROLDI Stefano (ITA),ARG,MEX,SABELLA Alejandro (ARG),Ruben NAVARRO,Daniel PASSARELLA,Diego MARADONA,Nery PUMPIDO,Oscar RUGGERI,Diego SIMEONE,Carlos ROA,BATISTUTA,ABBONDANZIERI,MASCHERANO,MESSI,Javier AGUIRRE (MEX),Horacio CASARIN,Gustavo PENA,Arturo VAZQUEZ,Jose REYES,Pedro SOTO,Tomas BOY,CAMPOS,Alberto GARCIA ASPE,R. MARQUEZ,G TORRADO,C BLANCO,78,80,86,65,83,86,76,65,65,83,93,67,80,63,77,84,77,76,81,91,90,94
2010.0,28 Jun 2010 - 16:00 ,Round of 16,Netherlands,2.0,1.0,Slovakia,61962.0,1.0,0.0,Alberto UNDIANO MALLENCO (ESP),MARTINEZ Fermin (ESP),YUSTE Juan (ESP),NED,SVK,Louis VAN GAAL (NED),Johan CRUYFF,Piet SCHRIJVERS,Jan JONGBLOED,Ruud KROL,Ronald KOEMAN,V. BRONCKHORST,STEKELENBURG,V. PERSIE,CILLESSEN,VORM,KRUL,WEISS Vladimir (SVK),MUCHA,HAMSIK,WEISS Vladimir (SVK),WEISS Vladimir (SVK),WEISS Vladimir (SVK),WEISS Vladimir (SVK),HAMSIK,HAMSIK,WEISS Vladimir (SVK),HAMSIK,HAMSIK,74,75,85,71,94,85,75,85,81,79,77,70,65,58,58,58,58,65,65,58,65,65
2010.0,28 Jun 2010 - 20:30 ,Round of 16,Brazil,3.0,0.0,Chile,54096.0,2.0,0.0,WEBB Howard (ENG),Darren CANN (ENG),MULLARKEY Michael (ENG),BRA,CHI,SCOLARI Luiz Felipe (BRA),LEONIDAS,CARLOS ALBERTO,EDINHO,RICARDO GOMES,RAI,DUNGA,CAFU,DIDA,R. CENI,T SILVA,JULIO CESAR,ACOSTA Nelson (URU),Guillermo SUBIABRE,Jorge TORO,Francisco VALDES,Ivan ZAMORANO,Nelson TAPIA,Francisco VALDES,Ivan ZAMORANO,Jorge TORO,Jorge TORO,ACOSTA Nelson (URU),ACOSTA Nelson (URU),65,77,73,82,77,65,65,80,91,94,76,70,78,75,82,72,75,82,78,78,79,79
2010.0,29 Jun 2010 - 16:00 ,Round of 16,Paraguay,0.0,0.0,Japan,36742.0,0.0,0.0,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),PAR,JPN,RUIZ LEITES Anibal (URU),Luis VARGAS PENA,Cesar LOPEZ FRETES,Juan AGUERO,CHILAVERT,TAVARELLI,VILLAR,GAMARRA,GAMARRA,GAMARRA,RUIZ LEITES Anibal (URU),TAVARELLI,OKADA Takeshi (JPN),Masami IHARA,MORIOKA,MIYAMOTO,KAWAGUCHI,HASEBE,HASEBE,OKADA Takeshi (JPN),OKADA Takeshi (JPN),OKADA Takeshi (JPN),MIYAMOTO,OKADA Takeshi (JPN),79,76,84,65,65,74,72,72,72,78,65,64,68,65,54,77,77,65,65,65,65,65
2010.0,29 Jun 2010 - 20:30 ,Round of 16,Spain,1.0,0.0,Portugal,62955.0,0.0,0.0,BALDASSI Hector (ARG),CASAS Ricardo (ARG),MAIDANA Hernan (ARG),ESP,POR,DEL BOSQUE Vicente (ESP),ZARRA,Juan Manuel ASENSI,Jose Antonio CAMACHO,Emilio BUTRAGUENO,NADAL,ZUBIZARRETA,HIERRO,RAUL,I. CASILLAS,RAMOS,RAUL,PAULO BENTO (POR),MARIO COLUNA,GOMES,FIGO,RICARDO,PAULETA,RONALDO,BETO,EDUARDO,MARIO COLUNA,RONALDO,GOMES,65,84,81,74,64,65,65,74,87,90,74,81,82,67,80,65,94,76,76,81,94,82
2010.0,02 Jul 2010 - 16:00 ,Quarter-finals,Netherlands,2.0,1.0,Brazil,40186.0,0.0,1.0,NISHIMURA Yuichi (JPN),SAGARA Toru (JPN),JEONG Hae Sang (KOR),NED,BRA,Louis VAN GAAL (NED),Johan CRUYFF,Piet SCHRIJVERS,Jan JONGBLOED,Ruud KROL,Ruud GULLIT,Ronald KOEMAN,STEKELENBURG,V. PERSIE,CILLESSEN,VORM,KRUL,SCOLARI Luiz Felipe (BRA),PREGUINHO,LEONIDAS,WILSON PIAZZA,MARINHO PERES,SOCRATES,WALDIR PERES,RAI,DUNGA,CAFU,DIDA,JULIO CESAR,74,75,85,71,71,94,75,85,81,79,77,65,65,76,78,65,78,77,65,65,80,76
2010.0,02 Jul 2010 - 20:30 ,Quarter-finals,Uruguay,1.0,1.0,Ghana,84017.0,0.0,0.0,Oleg�rio BENQUEREN�A (POR),CARDINAL Jose (POR),MIRANDA Bertino (POR),URU,GHA,TABAREZ Oscar (URU),Obdulio VARELA,Horacio TROCHE,Pedro ROCHA,Juan MASNIK,Jorge BARRIOS,Fernando ALVEZ,Enzo FRANCESCOLI,F.CARINI,FORLAN,D. LUGANO,F. MUSLERA,APPIAH James (GHA),S. APPIAH,MENSAH,A. GYAN,S. APPIAH,A. GYAN,A. GYAN,A. GYAN,A. GYAN,MENSAH,A. GYAN,A. GYAN,77,65,84,84,78,81,71,65,65,88,86,89,76,89,89,89,89,89,89,76,89,89
2010.0,03 Jul 2010 - 16:00 ,Quarter-finals,Argentina,0.0,4.0,Germany,64100.0,0.0,1.0,Ravshan IRMATOV (UZB),ILYASOV Rafael (UZB),KOCHKAROV Bakhadyr (KGZ),ARG,GER,SABELLA Alejandro (ARG),Antonio RATTIN,Miguel BRINDISI,Daniel PASSARELLA,Diego MARADONA,Nery PUMPIDO,Sergio GOYCOCHEA,Diego SIMEONE,Carlos ROA,VERON,SORIN,MASCHERANO,LOEW Joachim (GER),MATTH�US,Juergen KLINSMANN,KAHN,SCHNEIDER,BALLACK,LAHM,BALLACK,MATTH�US,BALLACK,MATTH�US,MATTH�US,80,78,80,86,65,90,86,76,67,65,83,65,61,65,83,65,65,65,65,65,65,65
2010.0,03 Jul 2010 - 20:30 ,Quarter-finals,Paraguay,0.0,1.0,Spain,55359.0,0.0,0.0,BATRES Carlos (GUA),LEAL Leonel (CRC),PASTRANA Carlos (HON),PAR,ESP,RUIZ LEITES Anibal (URU),Luis VARGAS PENA,Cesar LOPEZ FRETES,Juan AGUERO,CHILAVERT,TAVARELLI,VILLAR,GAMARRA,Juan AGUERO,Cesar LOPEZ FRETES,GAMARRA,Cesar LOPEZ FRETES,DEL BOSQUE Vicente (ESP),ZARRA,Juan Manuel ASENSI,Jose Antonio CAMACHO,Emilio BUTRAGUENO,NADAL,ZUBIZARRETA,HIERRO,RAUL,I. CASILLAS,RAMOS,NADAL,79,76,84,65,65,74,72,84,76,72,76,65,84,81,74,64,65,65,74,87,90,64
2010.0,06 Jul 2010 - 20:30 ,Semi-finals,Uruguay,2.0,3.0,Netherlands,62479.0,1.0,1.0,Ravshan IRMATOV (UZB),ILYASOV Rafael (UZB),KOCHKAROV Bakhadyr (KGZ),URU,NED,TABAREZ Oscar (URU),Obdulio VARELA,Horacio TROCHE,Pedro ROCHA,Luis UBINA,Juan MASNIK,Jorge BARRIOS,Enzo FRANCESCOLI,P.MONTERO,LUGANO,FORLAN,F. MUSLERA,Louis VAN GAAL (NED),Johan CRUYFF,Jan JONGBLOED,Ruud KROL,Ruud GULLIT,Ronald KOEMAN,V. BRONCKHORST,STEKELENBURG,V. PERSIE,CILLESSEN,VORM,KRUL,77,65,84,79,84,78,71,65,65,65,86,74,85,71,71,94,85,75,85,81,79,77
2010.0,07 Jul 2010 - 20:30 ,Semi-finals,Germany,0.0,1.0,Spain,60960.0,0.0,0.0,KASSAI Viktor (HUN),EROS Gabor (HUN),VAMOS Tibor (HUN),GER,ESP,LOEW Joachim (GER),MATTH�US,Juergen KLINSMANN,KAHN,SCHNEIDER,BALLACK,LAHM,Juergen KLINSMANN,Juergen KLINSMANN,MATTH�US,KAHN,MATTH�US,DEL BOSQUE Vicente (ESP),ZARRA,Juan Manuel ASENSI,Jose Antonio CAMACHO,Emilio BUTRAGUENO,NADAL,ZUBIZARRETA,HIERRO,RAUL,I. CASILLAS,RAMOS,ZARRA,65,61,65,83,65,65,61,61,65,65,65,65,84,81,74,64,65,65,74,87,90,65
2010.0,10 Jul 2010 - 20:30 ,Match for third place,Uruguay,2.0,3.0,Germany,36254.0,1.0,1.0,ARCHUNDIA Benito (MEX),VERGARA Hector (CAN),TORRENTERA Marvin (MEX),URU,GER,TABAREZ Oscar (URU),Horacio TROCHE,Pedro ROCHA,Jorge BARRIOS,Fernando ALVEZ,Enzo FRANCESCOLI,F.CARINI,LUGANO,FORLAN,D. LUGANO,D. GODIN,F. MUSLERA,LOEW Joachim (GER),MATTH�US,Juergen KLINSMANN,KAHN,SCHNEIDER,BALLACK,LAHM,BALLACK,MATTH�US,KAHN,LOEW Joachim (GER),MATTH�US,65,84,78,81,71,65,65,65,88,88,86,65,61,65,83,65,65,65,65,65,65,65
2010.0,11 Jul 2010 - 20:30 ,Final,Netherlands,0.0,1.0,Spain,84490.0,0.0,0.0,WEBB Howard (ENG),Darren CANN (ENG),MULLARKEY Michael (ENG),NED,ESP,Louis VAN GAAL (NED),Johan CRUYFF,Piet SCHRIJVERS,Jan JONGBLOED,Ruud KROL,Ruud GULLIT,Ronald KOEMAN,V. BRONCKHORST,STEKELENBURG,CILLESSEN,VORM,KRUL,DEL BOSQUE Vicente (ESP),ZARRA,Juan Manuel ASENSI,Jose Antonio CAMACHO,Emilio BUTRAGUENO,NADAL,ZUBIZARRETA,HIERRO,RAUL,I. CASILLAS,RAMOS,RAUL,74,75,85,71,71,94,85,75,81,79,77,65,84,81,74,64,65,65,74,87,90,74
2014.0,12 Jun 2014 - 17:00 ,Group A,Brazil,3.0,1.0,Croatia,62103.0,1.0,1.0,NISHIMURA Yuichi (JPN),SAGARA Toru (JPN),NAGI Toshiyuki (JPN),BRA,CRO,SCOLARI Luiz Felipe (BRA),PREGUINHO,LEONIDAS,WILSON PIAZZA,SOCRATES,WALDIR PERES,EDINHO,RAI,CAFU,DIDA,R. CENI,T SILVA,KRANJCAR Zlatko (CRO),Davor SUKER,Zvonimir BOBAN,SUKER,N. KOVAC,PLETIKOSA,KRANJCAR Zlatko (CRO),SUKER,N. KOVAC,Zvonimir BOBAN,PLETIKOSA,PLETIKOSA,65,65,76,65,78,73,77,65,80,91,94,65,65,65,87,65,65,65,87,65,65,65
2014.0,13 Jun 2014 - 13:00 ,Group A,Mexico,1.0,0.0,Cameroon,39216.0,0.0,0.0,ROLDAN Wilmar (COL),CLAVIJO Humberto (COL),DIAZ Eduardo (COL),MEX,CMR,Javier AGUIRRE (MEX),Gustavo PENA,Arturo VAZQUEZ,Jose REYES,Pedro SOTO,Tomas BOY,CAMPOS,Alberto GARCIA ASPE,R. MARQUEZ,G TORRADO,C BLANCO,R MARQUEZ,Paul LE GUEN (FRA),Thomas NKONO,Stephen TATAW,SONGO'O,Francois OMAM-BIYIK,SONG,ETO'O,Francois OMAM-BIYIK,Francois OMAM-BIYIK,SONG,Paul LE GUEN (FRA),Francois OMAM-BIYIK,80,63,77,84,77,76,81,91,90,94,94,80,74,62,53,77,81,53,53,77,91,53
2014.0,13 Jun 2014 - 16:00 ,Group B,Spain,1.0,5.0,Netherlands,48173.0,1.0,1.0,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),ESP,NED,DEL BOSQUE Vicente (ESP),ZARRA,Juan Manuel ASENSI,Jose Antonio CAMACHO,Emilio BUTRAGUENO,NADAL,ZUBIZARRETA,HIERRO,RAUL,I. CASILLAS,RAMOS,ZARRA,Louis VAN GAAL (NED),Johan CRUYFF,Jan JONGBLOED,Ruud KROL,Ruud GULLIT,Ronald KOEMAN,V. BRONCKHORST,STEKELENBURG,V. PERSIE,CILLESSEN,VORM,KRUL,65,84,81,74,64,65,65,74,87,90,65,74,85,71,71,94,85,75,85,81,79,77
2014.0,13 Jun 2014 - 18:00 ,Group B,Chile,3.0,1.0,Australia,40275.0,2.0,1.0,Noumandiez DOUE (CIV),YEO Songuifolo (CIV),BIRUMUSHAHU Jean Claude (BDI),CHI,AUS,ACOSTA Nelson (URU),Guillermo SUBIABRE,Jorge TORO,Francisco VALDES,Ivan ZAMORANO,Nelson TAPIA,Nelson TAPIA,Guillermo SUBIABRE,Nelson TAPIA,Francisco VALDES,Francisco VALDES,Nelson TAPIA,POSTECOGLOU Ange (AUS),NEILL,JEDINAK,POSTECOGLOU Ange (AUS),JEDINAK,POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),NEILL,POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),70,78,75,82,72,72,70,72,75,75,72,68,65,75,65,75,75,75,68,75,75,75
2014.0,14 Jun 2014 - 13:00 ,Group C,Colombia,3.0,0.0,Greece,57174.0,1.0,0.0,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),COL,GRE,PEKERMAN Jose (ARG),Francisco ZULUAGA,Carlos VALDERRAMA,VALDERRAMA,OSPINA,MONDRAGON,YEPES,Carlos VALDERRAMA,YEPES,Carlos VALDERRAMA,VALDERRAMA,YEPES,SANTOS Fernando (POR),Tassos MITROPOULOS,KARAGOUNIS,KATSOURANIS,KARNEZIS,GLYKOS,SANTOS Fernando (POR),KATSOURANIS,KARNEZIS,SANTOS Fernando (POR),KARNEZIS,SANTOS Fernando (POR),75,76,65,79,65,65,76,65,76,65,65,65,63,65,82,71,81,65,82,81,82,81
2014.0,14 Jun 2014 - 16:00 ,Group D,Uruguay,1.0,3.0,Costa Rica,58679.0,1.0,0.0,BRYCH Felix (GER),BORSCH Mark (GER),LUPP Stefan (GER),URU,CRC,TABAREZ Oscar (URU),Obdulio VARELA,Luis UBINA,Juan MASNIK,Jorge BARRIOS,Fernando ALVEZ,F.CARINI,P.MONTERO,LUGANO,D. LUGANO,D. GODIN,F. MUSLERA,PINTO Jorge Luis (COL),Roger FLORES,MARIN L.,RUIZ B.,NAVAS K.,MARIN L.,RUIZ B.,MARIN L.,MARIN L.,PINTO Jorge Luis (COL),MARIN L.,RUIZ B.,77,79,84,78,81,65,65,65,88,88,86,76,93,85,89,93,85,93,93,79,93,85
2014.0,14 Jun 2014 - 18:00 ,Group D,England,1.0,2.0,Italy,39800.0,1.0,1.0,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),ENG,ITA,CAPELLO Fabio (ITA),Bryan ROBSON,Terry BUTCHER,Alan SHEARER,David SEAMAN,BECKHAM,ROBINSON,GERRARD,David SEAMAN,Alan SHEARER,Alan SHEARER,David SEAMAN,LIPPI Marcello (ITA),Riccardo CARAPELLESE,Giampiero BONIPERTI,Egisto PANDOLFINI,Gaetano SCIREA,PAGLIUCA,Franco BARESI,MALDINI,Paolo MALDINI,BUFFON,MARCHETTI,CANNAVARO,73,78,78,87,65,69,65,87,78,78,87,65,65,65,65,65,68,65,66,89,80,75
2014.0,14 Jun 2014 - 22:00 ,Group C,C�te d'Ivoire,2.0,1.0,Japan,40267.0,0.0,1.0,OSSES Enrique (CHI),ASTROZA Carlos (CHI),ROMAN Sergio (CHI),CIV,JPN,MICHEL Henri (FRA),DROGBA,DOMORAUD,MICHEL Henri (FRA),MICHEL Henri (FRA),MICHEL Henri (FRA),MICHEL Henri (FRA),MICHEL Henri (FRA),DROGBA,MICHEL Henri (FRA),DROGBA,MICHEL Henri (FRA),OKADA Takeshi (JPN),Masami IHARA,MORIOKA,MIYAMOTO,KAWAGUCHI,HASEBE,MORIOKA,MORIOKA,MORIOKA,KAWAGUCHI,HASEBE,MORIOKA,65,67,77,77,77,77,77,65,77,65,77,64,68,65,54,77,68,68,68,54,77,68
2014.0,15 Jun 2014 - 13:00 ,Group E,Switzerland,2.0,1.0,Ecuador,68351.0,0.0,1.0,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),SUI,ECU,HITZFELD Ottmar (GER),Marco PASCOLO,VOGEL,BENAGLIO,FREI,FREI,FREI,Marco PASCOLO,HITZFELD Ottmar (GER),HITZFELD Ottmar (GER),BENAGLIO,FREI,RUEDA Reinaldo (COL),AGUINAGA,CEVALLOS,I. HURTADO,C. MORA,M. AYOVI,A. VALENCIA,AGUINAGA,A. VALENCIA,AGUINAGA,AGUINAGA,CEVALLOS,84,65,77,76,76,76,84,65,65,77,76,65,65,87,87,92,89,65,89,65,65,65
2014.0,15 Jun 2014 - 16:00 ,Group E,France,3.0,0.0,Honduras,43012.0,1.0,0.0,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),FRA,HON,DOMENECH Raymond (FRA),Jean Paul BERTRAND DEMANES,Michel PLATINI,Didier DESCHAMPS,ZIDANE,VIEIRA,EVRA,A. DIARRA,ZIDANE,Jean Paul BERTRAND DEMANES,VIEIRA,A. DIARRA,SUAREZ Luis (COL),Ramon MARADIAGA,GUEVARRA,VALLADARES,Ramon MARADIAGA,SUAREZ Luis (COL),Ramon MARADIAGA,Ramon MARADIAGA,Ramon MARADIAGA,Ramon MARADIAGA,Ramon MARADIAGA,Ramon MARADIAGA,81,76,65,64,71,80,89,64,81,71,89,71,65,65,71,79,71,71,71,71,71,71
2014.0,15 Jun 2014 - 19:00 ,Group F,Argentina,2.0,1.0,"rn"">Bosnia and Herzegovina",74738.0,1.0,0.0,AGUILAR Joel (SLV),TORRES William (SLV),ZUMBA Juan (SLV),ARG,BIH,SABELLA Alejandro (ARG),Antonio RATTIN,Nery PUMPIDO,Sergio GOYCOCHEA,Oscar RUGGERI,Diego SIMEONE,Carlos ROA,VERON,BATISTUTA,SORIN,MASCHERANO,MESSI,SUSIC Safet (BIH),SPAHI?,SUSIC Safet (BIH),SUSIC Safet (BIH),SPAHI?,SPAHI?,SPAHI?,SPAHI?,SPAHI?,SPAHI?,SPAHI?,SUSIC Safet (BIH),80,65,90,83,86,76,67,65,65,83,93,65,65,65,65,65,65,65,65,65,65,65
2014.0,16 Jun 2014 - 13:00 ,Group G,Germany,4.0,0.0,Portugal,51081.0,3.0,0.0,MAZIC Milorad (SRB),RISTIC Milovan (SRB),DJURDJEVIC Dalibor (SRB),GER,POR,LOEW Joachim (GER),MATTH�US,Juergen KLINSMANN,KAHN,SCHNEIDER,BALLACK,LAHM,Juergen KLINSMANN,KAHN,BALLACK,LAHM,Juergen KLINSMANN,PAULO BENTO (POR),MARIO COLUNA,GOMES,FIGO,RICARDO,PAULETA,RONALDO,BETO,EDUARDO,EDUARDO,BETO,PAULETA,65,61,65,83,65,65,61,65,65,65,61,81,82,67,80,65,94,76,76,76,76,65
2014.0,16 Jun 2014 - 16:00 ,Group F,IR Iran,0.0,0.0,Nigeria,39081.0,0.0,0.0,VERA Carlos (ECU),LESCANO Christian (ECU),ROMERO Byron (ECU),IRN,NGA,Carlos QUEIR�S (POR),Y.GOLMOHAMMADI,J. NEKOUNAM,Y.GOLMOHAMMADI,Carlos QUEIR�S (POR),Y.GOLMOHAMMADI,Y.GOLMOHAMMADI,Y.GOLMOHAMMADI,Y.GOLMOHAMMADI,Carlos QUEIR�S (POR),Carlos QUEIR�S (POR),Carlos QUEIR�S (POR),KESHI Stephen (NGA),Stephen KESHI,UCHE,ENYEAMA,KANU,YOBO,UCHE,KESHI Stephen (NGA),UCHE,KESHI Stephen (NGA),UCHE,KANU,65,88,65,76,65,65,65,65,76,76,76,74,76,80,74,65,76,74,76,74,76,74
2014.0,16 Jun 2014 - 19:00 ,Group G,Ghana,1.0,2.0,USA,39760.0,0.0,1.0,ERIKSSON Jonas (SWE),KLASENIUS Mathias (SWE),WARNMARK Daniel (SWE),GHA,USA,APPIAH James (GHA),S. APPIAH,MENSAH,A. GYAN,S. APPIAH,S. APPIAH,APPIAH James (GHA),APPIAH James (GHA),APPIAH James (GHA),APPIAH James (GHA),APPIAH James (GHA),APPIAH James (GHA),KLINSMANN Juergen (GER),Tom FLORIE,Tony MEOLA,Michael WINDISCHMANN,Thomas DOOLEY,STEWART,FRIEDEL,REYNA,BOCANEGRA,DEMPSEY,Michael WINDISCHMANN,Thomas DOOLEY,89,76,89,89,89,73,73,73,73,73,73,76,71,65,80,72,65,70,74,78,65,80
2014.0,17 Jun 2014 - 13:00 ,Group H,Belgium,2.0,1.0,Algeria,56800.0,0.0,1.0,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),BEL,ALG,WILMOTS Marc (BEL),Paul VAN HIMST,Jean Marie PFAFF,Eric GERETS,Jan CEULEMANS,Georges GRUN,SCIFO,Franky VAN DER ELST,Enzo SCIFO,WILMOTS,VERTONGHEN,KOMPANY,HALILHODZIC Vahid (BIH),Nasser DRID,YAHIA,BOUGUERRA,HALLICHE,Nasser DRID,HALILHODZIC Vahid (BIH),HALILHODZIC Vahid (BIH),HALILHODZIC Vahid (BIH),Nasser DRID,HALILHODZIC Vahid (BIH),Nasser DRID,87,74,80,85,65,65,87,71,65,85,85,72,72,65,71,72,65,65,65,72,65,72
2014.0,17 Jun 2014 - 16:00 ,Group A,Brazil,0.0,0.0,Mexico,60342.0,0.0,0.0,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),BRA,MEX,SCOLARI Luiz Felipe (BRA),LEONIDAS,CARLOS ALBERTO,WILSON PIAZZA,MARINHO PERES,SOCRATES,WALDIR PERES,RAI,DUNGA,CAFU,T SILVA,JULIO CESAR,Javier AGUIRRE (MEX),Horacio CASARIN,Gustavo PENA,Arturo VAZQUEZ,Jose REYES,Pedro SOTO,Tomas BOY,O. PEREZ,R. MARQUEZ,G TORRADO,C BLANCO,R MARQUEZ,65,77,76,78,65,78,77,65,65,94,76,67,80,63,77,84,77,83,91,90,94,94
2014.0,17 Jun 2014 - 18:00 ,Group H,Russia,1.0,1.0,Korea Republic,37603.0,0.0,0.0,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),RUS,KOR,SADYRIN Pavel (RUS),Dmitri KHARIN,SADYRIN Pavel (RUS),SADYRIN Pavel (RUS),SADYRIN Pavel (RUS),Dmitri KHARIN,SADYRIN Pavel (RUS),SADYRIN Pavel (RUS),SADYRIN Pavel (RUS),SADYRIN Pavel (RUS),SADYRIN Pavel (RUS),Dmitri KHARIN,HONG Myungbo (KOR),PARK Chang Sun,CHOI In Young,LEE Woonjae,KIM B. J.,YOO S. C.,M B HONG,JISUNG,J C KOO,YOO S. C.,J C KOO,KIM B. J.,65,72,72,72,65,72,72,72,72,72,65,78,89,77,88,89,93,65,94,89,94,88
2014.0,18 Jun 2014 - 13:00 ,Group B,Australia,2.0,3.0,Netherlands,42877.0,1.0,1.0,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),AUS,NED,POSTECOGLOU Ange (AUS),NEILL,JEDINAK,POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),NEILL,POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),NEILL,NEILL,Louis VAN GAAL (NED),Johan CRUYFF,Piet SCHRIJVERS,Jan JONGBLOED,Ruud KROL,Ruud GULLIT,Ronald KOEMAN,STEKELENBURG,V. PERSIE,CILLESSEN,VORM,KRUL,68,65,75,75,75,75,68,75,75,68,68,74,75,85,71,71,94,75,85,81,79,77
2014.0,18 Jun 2014 - 16:00 ,Group B,Spain,0.0,2.0,Chile,74101.0,0.0,2.0,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),ESP,CHI,DEL BOSQUE Vicente (ESP),ZARRA,Juan Manuel ASENSI,Jose Antonio CAMACHO,Emilio BUTRAGUENO,NADAL,ZUBIZARRETA,HIERRO,RAUL,I. CASILLAS,RAMOS,NADAL,ACOSTA Nelson (URU),Guillermo SUBIABRE,Jorge TORO,Francisco VALDES,Ivan ZAMORANO,Nelson TAPIA,Nelson TAPIA,Nelson TAPIA,Nelson TAPIA,Nelson TAPIA,Nelson TAPIA,Nelson TAPIA,65,84,81,74,64,65,65,74,87,90,64,70,78,75,82,72,72,72,72,72,72,72
2014.0,18 Jun 2014 - 18:00 ,Group A,Cameroon,0.0,4.0,Croatia,39982.0,0.0,1.0,PROENCA Pedro (POR),MIRANDA Bertino (POR),TRIGO Jose (POR),CMR,CRO,Paul LE GUEN (FRA),Thomas NKONO,Stephen TATAW,SONGO'O,Francois OMAM-BIYIK,SONG,ETO'O,SONG,SONG,Stephen TATAW,SONG,Paul LE GUEN (FRA),KRANJCAR Zlatko (CRO),Davor SUKER,Zvonimir BOBAN,SUKER,N. KOVAC,PLETIKOSA,SUKER,Davor SUKER,PLETIKOSA,Davor SUKER,SUKER,Davor SUKER,80,74,62,53,77,81,77,77,74,77,91,65,65,65,87,65,65,65,65,65,65,65
