Team Initials,Coach Name,Player Name
HON,DE LA PAZ Jose (HON),Ramon MARADIAGA
AUT,SCHMIDT Georg (AUT),Erich OBERMAYER
BRA,SANTANA Tele (BRA),WALDIR PERES
POL,PIECHNICZEK Antoni (POL),Wladyslaw ZMUDA
KOR,KIM Jung Nam (KOR),PARK Chang Sun
NIR,BINGHAM Billy (NIR),Sam McILROY
MEX,MILUTINOVIC Bora (YUG),Tomas BOY
ENG,ROBSON Bobby (ENG),Bryan ROBSON
URU,BORRAS Omar (URU),Jorge BARRIOS
ARG,BILARDO Carlos (ARG),Diego MARADONA
CAN,WAITERS Tony (ENG),Bruce WILSON
HUN,MEZEY Gyorgy (HUN),Antal NAGY
POR,JOSE TORRES (POR),GOMES
IRQ,EVARISTO (BRA),HAMMOUDI RAAD
URS,LOBANOVSKYI Valeriy (UKR),Oleg BLOKHIN
ITA,BEARZOT Enzo (ITA),Gaetano SCIREA
BEL,THYS Guy (BEL),Jan CEULEMANS
IRQ,EVARISTO (BRA),KHALIL MOHAMED
ALG,SAADANE Rabah (ALG),Nasser DRID
URU,BORRAS Omar (URU),Fernando ALVEZ
ARG,BILARDO Carlos (ARG),Nery PUMPIDO
BRA,SANTANA Tele (BRA),EDINHO
POL,PIECHNICZEK Antoni (POL),Zbigniew BONIEK
ESP,MUNOZ Miguel (ESP),Jose Antonio CAMACHO
UAE,PARREIRA Carlos Alberto (BRA),FAHAD KHAMEES
COL,MATURANA Francisco (COL),Carlos VALDERRAMA
USA,GANSLER Bob (USA),Tony MEOLA
TCH,VENGLOS Jozef (SVK),Ivan HASEK
FRG,BECKENBAUER Franz (GER),Lothar MATTHAEUS
EGY,EL GOHARY Mahmoud (EGY),Gamal ABDELHAMID
URU,TABAREZ Oscar (URU),Enzo FRANCESCOLI
YUG,OSIM Ivica (BIH),Zlatko VUJOVIC
EGY,EL GOHARY Mahmoud (EGY),Ahmed SHOBEIR
ESP,SUAREZ Luis (ESP),Emilio BUTRAGUENO
AUT,HICKERSBERGER Josef (AUT),Klaus LINDENBERGER
USA,GANSLER Bob (USA),Michael WINDISCHMANN
AUT,HICKERSBERGER Josef (AUT),Toni POLSTER
CRC,MILUTINOVIC Bora (YUG),Roger FLORES
NED,BEENHAKKER Leo (NED),Ruud GULLIT
ARG,BILARDO Carlos (ARG),Sergio GOYCOCHEA
BRA,LAZARONI Sebastiao (BRA),RICARDO GOMES
IRL,CHARLTON Jack (ENG),Paul McGRATH
ENG,ROBSON Bobby (ENG),Terry BUTCHER
ESP,CLEMENTE Javier (ESP),NADAL
BOL,Xavier AZKARGORTA URIARTE (ESP),Carlos BORJA
COL,MATURANA Francisco (COL),VALDERRAMA
ROU,IORDANESCU Anghel (ROU),HAGI
MAR,BLINDA Abdellah (MAR),Khalil AZMI
BEL,VAN HIMST Paul (BEL),Georges GRUN
MAR,BLINDA Abdellah (MAR),Mustapha EL HADAOUI
KSA,SOLARI Jorge (ARG),Majed ABDULLAH
BRA,PARREIRA Carlos Alberto (BRA),RAI
ITA,SACCHI Arrigo (ITA),PAGLIUCA
ITA,SACCHI Arrigo (ITA),Franco BARESI
MEX,BARON Miguel Mejia (MEX),CAMPOS
RUS,SADYRIN Pavel (RUS),Dmitri KHARIN
CMR,MICHEL Henri (FRA),Stephen TATAW
KSA,SOLARI Jorge (ARG),AL-DEAYEA
KOR,KIM Ho Kon (KOR),CHOI In Young
GER,VOGTS Berti (GER),MATTH�US
KOR,KIM Ho Kon (KOR),LEE Woonjae
IRL,CHARLTON Jack (ENG),Andy TOWNSEND
